Field,FieldID,Year,Oil Production,Oil Sales,Gas Production,Gas Sales,Water Produced
IGNACIO BLANCO                ,38300,2012,5938,4658,405819158,394601924,23879079
IGNACIO BLANCO                ,38300,2013,4479,3574,373210993,362189289,23698389
IGNACIO BLANCO                ,38300,2014,5041,5533,348888877,338904984,22947407
IGNACIO BLANCO                ,38300,2015,4981,4011,334983059,325655322,23803124
IGNACIO BLANCO                ,38300,2016,1688,2633,315708558,307841150,23379549
IGNACIO BLANCO                ,38300,2017,1001,179,305738075,299422251,23400463
IGNACIO BLANCO                ,38300,2018,976,1840,311415114,304718040,20393855
IGNACIO BLANCO                ,38300,2019,1398,1948,290933622,282404497,19626122
IGNACIO BLANCO                ,38300,2020,921,252,262619137,254740886,17204496
