County,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Archuleta,92,102,102,115,136,134,138,146,147,148,162,158,159,160,161
La Plata,3055,3162,3251,3333,3347,3337,3328,3322,3326,3341,3313,3284,3262,3244,3217
Montezuma,178,179,186,182,176,186,187,177,170,165,156,155,152,148,148
