Site Pt,Area,Northing,Easting,Date Time,CH4 flux,H2S flux,CO2 flux,Pressure,Temp,CH4 slope,H2S slope,CO2 slope
Baird062216_01,Baird,1230790,2330634,22-06-2016 09:19:34,0,0,0.26,787,28.6,0,-0.002,1.073
Baird062216_02,Baird,1230789,2330693,22-06-2016 09:22:07,0,0,0,787.1,29.5,0,-0.002,-0.15
Baird062216_03,Baird,1230795,2330762,22-06-2016 09:24:44,0,0,0.47,787.2,30.2,0,-0.004,1.918
Baird062216_04,Baird,1230778,2330816,22-06-2016 09:27:10,0,0,0.13,787.2,30.8,0,-0.004,0.536
Baird062216_05,Baird,1230789,2330857,22-06-2016 09:29:40,0,0,0,787.2,31.4,0,-0.011,0.009
Baird062216_06,Baird,1230748,2330847,22-06-2016 09:32:49,0,0,0.19,787.5,32,0,-0.001,0.783
Baird062216_07,Baird,1230691,2330854,22-06-2016 09:35:34,0,0,0.54,787.2,32.5,0,0,2.261
Baird062216_08,Baird,1230645,2330850,22-06-2016 09:38:19,0,0,0.02,787.2,33.1,0,-0.01,0.077
Baird062216_09,Baird,1230600,2330865,22-06-2016 09:41:37,0,0,0.22,787.2,33.9,0,0,0.925
Baird062216_10,Baird,1230602,2330796,22-06-2016 09:44:34,0,0,0.26,787.6,34.6,0,-0.001,1.076
Baird062216_11,Baird,1230610,2330743,22-06-2016 09:46:57,0,0,0.43,787.4,35.3,0,0,1.782
Baird062216_12,Baird,1230599,2330700,22-06-2016 09:49:27,0,0,0.05,787.1,36,0,-0.002,0.227
Baird062216_13,Baird,1230632,2330649,22-06-2016 09:52:33,0,0,0.01,787.3,36.9,0,-0.012,0.052
Baird062216_14,Baird,1230656,2330655,22-06-2016 09:55:11,0,0,0.11,787.2,37.6,0,-0.014,0.46
Baird062216_15,Baird,1230653,2330711,22-06-2016 09:57:35,0,0,0.02,787.4,38.3,-0.09,0,0.07
Baird062216_16,Baird,1230667,2330760,22-06-2016 10:00:41,0,0,0.17,787.1,39.1,0,-0.002,0.701
Baird062216_17,Baird,1230656,2330811,22-06-2016 10:03:04,0,0,0.22,787.1,39.6,0,-0.002,0.936
Baird062216_18,Baird,1230693,2330813,22-06-2016 10:05:14,0,0,0.17,787.1,39.9,0,-0.003,0.742
Baird062216_19,Baird,1230730,2330802,22-06-2016 10:08:24,0,0,0.38,787,40.3,0,0.012,1.597
Baird062216_20,Baird,1230694,2330751,22-06-2016 10:11:26,0,0,0.42,787.1,40.6,-0.018,-0.022,1.786
Baird062216_21,Baird,1230734,2330759,22-06-2016 10:13:57,0,0,0.23,787.1,40.9,0,0.015,1.001
Baird062216_22,Baird,1230691,2330706,22-06-2016 10:16:20,0,0,0.09,787,41.2,-0.061,-0.027,0.403
Baird062216_23,Baird,1230739,2330710,22-06-2016 10:18:27,0,0,0.06,786.9,41.4,0,-0.013,0.257
Baird062216_24,Baird,1230683,2330655,22-06-2016 10:21:02,0,0,0.19,787.1,41.8,0,-0.014,0.823
Baird062216_25,Baird,1230743,2330661,22-06-2016 10:23:42,0,0,0.34,787.5,42.2,0,-0.003,1.464
BasinCreek060616_01,BC-CJ,1209752,2304582,6/6/16 9:56,0,0,0.05,799.9,30.3,0,0.004,0.211
BasinCreek060616_02,BC-CJ,1209951,2304576,6/6/16 10:01,0,0,2.66,799.9,32.2,0,-0.009,10.852
BasinCreek060616_03,BC-CJ,1209963,2304367,6/6/16 10:05,0,0,0.55,799.6,33.8,-0.001,0.003,2.256
BasinCreek060616_04,BC-CJ,1209768,2304390,6/6/16 10:09,0,0,0.25,799.1,35,0,0.009,1.051
BasinCreek060616_05,BC-CJ,1209548,2304337,6/6/16 10:13,0,0.01,0.29,799.6,36.1,-0.008,0.021,1.211
BasinCreek060616_06,BC-CJ,1209590,2304182,6/6/16 10:17,0,0.01,0.51,800.8,36.8,0,0.027,2.126
BasinCreek060616_07,BC-CJ,1209797,2304200,6/6/16 10:22,0,0,0.4,800.6,37.6,0,0.005,1.661
BasinCreek060616_08,BC-CJ,1209941,2304171,6/6/16 10:26,0,0,0.16,800.2,38.2,-1.517,0.012,0.673
BasinCreek060616_09,BC-CJ,1209964,2303963,6/6/16 10:29,0,0,0.18,799.9,38.7,-0.001,0.009,0.747
BasinCreek060616_10,BC-CJ,1209753,2303975,6/6/16 10:39,0,0,0.26,800.2,40.3,-0.563,-0.01,1.108
BasinCreek060616_11,BC-CJ,1209967,2303859,6/6/16 10:43,0,0,0.39,800.3,40.9,0,0.005,1.627
BasinCreek060616_12,BC-CJ,1209546,2303916,6/6/16 10:57,0,0,0.21,800.1,42.5,0,0.002,0.898
BasinCreek060616_13,BC-CJ,1209359,2303766,6/6/16 11:06,0,0,0.2,799.1,43,-2.218,-0.006,0.826
BasinCreek060616_14,BC-CJ,1209546,2303761,6/6/16 11:11,0,0,0.77,797.9,43.3,-0.154,-0.004,3.284
BasinCreek060616_15,BC-CJ,1209741,2303765,6/6/16 11:16,0,0,0.4,798.9,43.5,0,0.014,1.694
BasinCreek060616_16,BC-CJ,1209752,2303538,6/6/16 11:23,0,0,0.26,799,43.9,-0.019,0.011,1.085
BasinCreek060616_17,BC-CJ,1209577,2303562,6/6/16 11:30,0.52,0,0.25,799.3,44,2.19,0.002,1.065
BasinCreek060616_18,BC-CJ,1209614,2303538,6/6/16 11:35,0.85,0,0.12,797.8,44,3.599,-0.004,0.505
BasinCreek060616_19,BC-CJ,1209365,2303568,6/6/16 11:42,0,0,0.1,797,44.1,-0.092,0.001,0.445
BasinCreek060616_20,BC-CJ,1209376,2303410,6/6/16 11:48,0,0,0.31,796.1,44,-0.158,0.012,1.312
BasinCreek060616_21,BC-CJ,1209551,2303360,6/6/16 11:54,55.06,0,3.15,796.4,43.9,234.367,0.003,13.428
BasinCreek060616_22,BC-CJ,1209340,2303153,6/6/16 12:04,0,0,0.46,795.5,44.2,-18.632,0.006,1.966
